district,state,work_sector,area_type,distance_from_city,gdp_per_capita,literacy_rate_male,literacy_rate_female,avg_upi_txn_volume
Kasaragod,Kerala,Manufacturing,Urban,181.3,72.08,77.81,85.72,50.67
Kollam,Kerala,Services,Rural,169.9,79.58,83.12,77.69,64.78
Kottayam,Kerala,IT and Security,Urban,179.6,63.45,93.53,61.63,48.57
Kozhikode,Kerala,Food,Rural,13.9,50.08,88.31,71.5,31.26
Malappuram,Kerala,Medical,Rural,136.2,74.52,85.73,91.97,54.39
Palakkad,Kerala,Medical,Rural,75.4,89.77,78.53,67.31,37.98
Pathanamthitta,Kerala,Construction,Rural,177.4,93.93,94.35,74.36,48.45
Thiruvananthapuram,Kerala,Construction,Rural,164.9,87.96,80.55,62.18,38.34
Thrissur,Kerala,IT and Security,Rural,194.7,34.0,82.33,76.12,44.02
Wayanad,Kerala,LifeStyle,Rural,156.8,108.69,74.1,74.22,44.45
Kargil,Ladakh,Agriculture,Rural,73.0,108.83,99.7,77.38,76.88
Leh,Ladakh,IT and Security,Urban,43.1,60.18,74.8,64.27,70.82
Lakshadweep,Lakshadweep,Food,Rural,25.8,67.15,77.23,83.96,43.77
Agar Malwa,Madhya Pradesh,Food,Urban,20.1,89.27,99.44,81.25,68.68
Alirajpur,Madhya Pradesh,Services,Rural,194.4,70.84,91.76,77.79,32.87
Anuppur,Madhya Pradesh,Agriculture,Rural,93.3,71.46,71.59,62.69,45.03
Ashoknagar,Madhya Pradesh,Food,Rural,32.5,104.76,98.69,85.71,14.27
Balaghat,Madhya Pradesh,Agriculture,Rural,20.6,86.73,72.1,65.76,32.12
Barwani,Madhya Pradesh,IT and Security,Rural,22.3,112.02,88.97,68.94,18.35
Betul,Madhya Pradesh,Services,Rural,178.7,97.17,80.79,77.75,79.13
Bhind,Madhya Pradesh,Services,Urban,83.4,45.26,91.61,72.51,68.19
Bhopal,Madhya Pradesh,LifeStyle,Rural,131.2,75.44,93.52,73.51,34.91
Burhanpur,Madhya Pradesh,LifeStyle,Urban,67.7,75.18,96.91,61.14,59.75
Chhatarpur,Madhya Pradesh,Medical,Urban,7.4,126.04,80.68,79.28,69.93
Chhindwara,Madhya Pradesh,Construction,Rural,19.7,131.37,83.71,77.81,74.09
Damoh,Madhya Pradesh,Medical,Rural,69.0,110.45,83.0,87.74,55.15
Datia,Madhya Pradesh,Medical,Rural,145.2,93.23,77.07,77.43,56.6
Dewas,Madhya Pradesh,Food,Urban,176.7,87.94,96.3,84.6,37.56
Dhar,Madhya Pradesh,Manufacturing,Rural,16.1,67.85,70.02,75.26,49.51
Dindori,Madhya Pradesh,Manufacturing,Urban,86.8,90.99,84.48,82.15,61.06
Guna,Madhya Pradesh,Construction,Rural,55.4,78.02,82.88,72.97,42.79
Gwalior,Madhya Pradesh,Services,Rural,187.6,89.95,89.97,77.82,57.92
Harda,Madhya Pradesh,Food,Rural,169.7,60.56,73.84,90.21,26.65
Hoshangabad,Madhya Pradesh,Medical,Urban,191.8,53.26,99.44,79.06,39.3
Indore,Madhya Pradesh,Agriculture,Urban,186.9,90.74,84.54,73.61,64.86
Jabalpur,Madhya Pradesh,Food,Urban,151.8,65.57,74.86,84.15,35.65
Jhabua,Madhya Pradesh,IT and Security,Rural,58.9,58.66,93.58,83.3,66.76
Katni,Madhya Pradesh,Services,Rural,139.6,79.6,82.44,94.07,56.24
Khandwa,Madhya Pradesh,Medical,Rural,70.1,77.86,74.43,64.28,44.76
Khargone,Madhya Pradesh,Agriculture,Urban,139.9,98.99,79.51,64.13,38.91
Maihar,Madhya Pradesh,LifeStyle,Rural,105.9,140.58,89.94,85.45,45.23
Mandla,Madhya Pradesh,IT and Security,Rural,185.7,67.73,70.57,91.63,58.26
Mandsaur,Madhya Pradesh,Medical,Urban,139.2,122.54,97.67,91.83,97.6
Mauganj,Madhya Pradesh,Services,Rural,105.2,54.08,81.27,90.72,30.62
Morena,Madhya Pradesh,IT and Security,Rural,34.3,86.38,86.28,69.1,60.33
Narsinghpur,Madhya Pradesh,Services,Rural,101.3,57.54,92.43,64.67,42.05
Neemuch,Madhya Pradesh,IT and Security,Urban,18.3,77.14,97.63,66.9,86.83
Niwari,Madhya Pradesh,Services,Rural,81.9,116.26,80.58,84.15,51.98
Pandhurna,Madhya Pradesh,Agriculture,Urban,29.6,79.29,96.87,64.04,87.12
Panna,Madhya Pradesh,Construction,Rural,143.2,93.02,73.29,67.39,55.67
Raisen,Madhya Pradesh,Manufacturing,Rural,133.9,100.96,87.97,83.2,65.49
Rajgarh,Madhya Pradesh,IT and Security,Rural,81.0,110.1,84.05,62.46,32.54
Ratlam,Madhya Pradesh,Services,Urban,190.1,101.23,96.81,80.73,66.36
Rewa,Madhya Pradesh,Medical,Rural,123.1,78.87,98.97,91.53,36.97
Sagar,Madhya Pradesh,IT and Security,Rural,107.8,104.71,85.92,64.57,81.07
Satna,Madhya Pradesh,IT and Security,Rural,99.9,65.29,70.48,62.57,75.17
Sehore,Madhya Pradesh,IT and Security,Urban,175.1,69.43,78.83,93.3,61.29
Seoni,Madhya Pradesh,Construction,Rural,162.5,125.99,93.95,70.82,39.01
Shahdol,Madhya Pradesh,Services,Rural,177.2,88.14,74.25,92.68,56.14
Shajapur,Madhya Pradesh,Services,Urban,61.2,36.47,82.31,69.86,52.4
Sheopur,Madhya Pradesh,LifeStyle,Urban,98.4,100.88,89.78,70.74,51.1
Shivpuri,Madhya Pradesh,Services,Rural,34.8,73.42,76.43,75.18,14.19
Sidhi,Madhya Pradesh,Services,Urban,152.4,137.08,88.26,62.59,45.53
Singrauli,Madhya Pradesh,Construction,Urban,68.3,65.24,79.93,62.05,53.24
Tikamgarh,Madhya Pradesh,LifeStyle,Urban,198.5,101.48,81.8,70.36,77.61
Ujjain,Madhya Pradesh,LifeStyle,Urban,171.3,99.86,90.63,80.33,55.74
Umaria,Madhya Pradesh,Manufacturing,Urban,138.0,69.21,80.35,93.43,37.58
Vidisha,Madhya Pradesh,Services,Rural,66.6,35.5,75.2,81.87,58.46
Ahmednagar,Maharashtra,Construction,Urban,168.6,46.56,73.58,85.54,36.07
Akola,Maharashtra,LifeStyle,Rural,198.5,69.77,70.85,89.17,41.04
Amravati,Maharashtra,Medical,Rural,87.8,80.14,98.93,93.41,90.97
Aurangabad,Maharashtra,Agriculture,Urban,139.4,103.46,87.66,88.1,60.42
Beed,Maharashtra,Manufacturing,Urban,95.0,75.03,88.47,75.61,23.21
Bhandara,Maharashtra,LifeStyle,Urban,69.8,64.8,99.55,93.08,45.44
Buldhana,Maharashtra,Construction,Urban,191.5,72.71,88.54,74.49,52.56
Chandrapur,Maharashtra,Construction,Rural,114.4,72.81,85.92,94.04,62.0
Dhule,Maharashtra,IT and Security,Rural,32.1,68.24,80.82,91.23,45.48
Gadchiroli,Maharashtra,LifeStyle,Rural,159.1,86.8,85.72,71.11,29.69
Gondia,Maharashtra,Medical,Rural,125.6,28.1,88.33,63.47,24.95
Hingoli,Maharashtra,LifeStyle,Rural,39.0,96.02,72.29,94.12,47.56
Jalgaon,Maharashtra,LifeStyle,Urban,109.6,62.86,98.97,73.77,50.17
Jalna,Maharashtra,Food,Urban,178.9,60.76,73.85,87.87,60.35
Kolhapur,Maharashtra,Agriculture,Urban,39.9,75.51,95.79,68.67,48.79
Latur,Maharashtra,Medical,Rural,171.2,54.66,89.95,63.22,25.88
Mumbai City,Maharashtra,Food,Rural,40.6,77.22,70.87,64.6,53.7
Mumbai Suburban,Maharashtra,Medical,Rural,62.7,70.18,90.52,66.51,31.07
Nagpur,Maharashtra,Food,Rural,153.3,83.94,98.56,84.76,52.76
Nanded,Maharashtra,Manufacturing,Rural,137.3,59.95,80.65,75.99,49.1
Nandurbar,Maharashtra,LifeStyle,Urban,141.4,96.77,81.29,66.03,69.23
Nashik,Maharashtra,Agriculture,Urban,183.1,82.65,90.0,72.72,43.26
Osmanabad,Maharashtra,Manufacturing,Rural,6.1,74.82,80.97,79.1,63.15
Palghar,Maharashtra,IT and Security,Urban,26.3,67.35,82.75,66.42,43.61
Parbhani,Maharashtra,Manufacturing,Rural,194.7,73.92,75.76,85.29,73.99
Pune,Maharashtra,Medical,Rural,29.7,81.87,80.05,94.85,69.73
Raigad,Maharashtra,Agriculture,Rural,115.9,88.18,97.44,78.88,39.41
Ratnagiri,Maharashtra,LifeStyle,Rural,126.0,93.14,77.64,63.71,64.88
Sangli,Maharashtra,Construction,Urban,66.2,73.01,75.38,84.47,70.52
Satara,Maharashtra,Services,Urban,151.3,77.12,77.62,80.63,58.6
Sindhudurg,Maharashtra,Construction,Rural,88.8,80.63,86.98,68.76,46.42
Solapur,Maharashtra,Services,Rural,118.2,43.48,74.75,77.63,48.47
Thane,Maharashtra,Food,Urban,79.3,52.98,81.88,86.05,36.47
Wardha,Maharashtra,Manufacturing,Urban,77.9,44.42,83.27,85.16,52.96
Washim,Maharashtra,LifeStyle,Urban,66.6,40.96,72.16,69.44,64.16
Yavatmal,Maharashtra,Services,Rural,47.5,114.9,71.21,61.28,39.45
Bishnupur,Manipur,Agriculture,Rural,124.0,80.95,77.77,92.21,61.31
Chandel,Manipur,Agriculture,Urban,16.2,53.19,79.25,83.3,58.82
Churachandpur,Manipur,Medical,Urban,144.1,97.95,75.23,71.73,48.68
Imphal East,Manipur,Agriculture,Rural,135.8,85.65,74.6,69.93,61.67
Imphal West,Manipur,IT and Security,Rural,72.4,69.6,97.92,68.31,54.68
Jiribam,Manipur,Construction,Urban,17.4,44.39,82.35,90.79,58.2
Kakching,Manipur,Construction,Urban,116.5,41.49,71.67,62.34,71.63
Kamjong,Manipur,Food,Rural,26.1,79.96,86.25,92.37,71.73
Kangpokpi,Manipur,Agriculture,Urban,144.9,61.77,99.94,65.39,74.28
Noney,Manipur,Agriculture,Urban,97.0,59.61,89.26,78.26,57.64
Pherzawl,Manipur,Manufacturing,Rural,44.4,88.66,94.49,85.76,37.46
Senapati,Manipur,IT and Security,Urban,140.6,53.44,86.9,75.78,49.6
Tamenglong,Manipur,Medical,Urban,142.5,69.38,90.35,66.96,39.26
Tengnoupal,Manipur,Medical,Urban,48.8,82.5,76.13,70.12,50.78
Thoubal,Manipur,Food,Urban,191.7,80.72,86.95,78.03,51.25
Ukhrul,Manipur,Food,Urban,13.8,88.46,88.14,92.94,53.02
East Garo Hills,Meghalaya,Food,Urban,195.1,75.95,83.78,78.14,82.16
East Jaintia Hills,Meghalaya,Construction,Urban,20.7,92.12,94.42,88.53,58.3
East Khasi Hills,Meghalaya,Manufacturing,Rural,94.3,64.76,93.57,86.87,3.75
Mairang,Meghalaya,Medical,Rural,18.6,70.37,99.53,72.13,62.18
North Garo Hills,Meghalaya,Food,Rural,35.9,87.52,91.87,85.17,39.35
Ri Bhoi,Meghalaya,Agriculture,Rural,151.2,74.7,84.84,64.67,42.3
South Garo Hills,Meghalaya,IT and Security,Rural,21.2,88.91,94.59,61.25,51.44
South West Garo Hills,Meghalaya,Food,Rural,84.2,64.24,73.21,74.61,61.94
South West Khasi Hills,Meghalaya,Manufacturing,Rural,183.7,83.13,80.77,80.31,52.58
West Garo Hills,Meghalaya,Agriculture,Urban,34.7,80.59,99.64,64.05,40.7
West Jaintia Hills,Meghalaya,Construction,Rural,199.1,99.02,93.08,76.67,71.32
West Khasi Hills,Meghalaya,Food,Rural,173.3,94.36,79.06,89.91,50.02
Aizawl,Mizoram,Construction,Urban,172.9,70.35,81.33,92.03,57.87
Champhai,Mizoram,Food,Urban,39.2,86.05,97.23,79.92,32.45
Hnahthial,Mizoram,Services,Urban,173.8,51.78,90.73,62.19,57.75
Khawzawl,Mizoram,Agriculture,Rural,78.9,78.01,72.79,87.64,26.48
Kolasib,Mizoram,Medical,Urban,18.7,68.54,84.45,75.53,45.11
Lawngtlai,Mizoram,Construction,Rural,196.6,54.14,90.51,61.23,57.74
Lunglei,Mizoram,Services,Rural,128.3,101.66,70.15,83.97,49.1
Mamit,Mizoram,Agriculture,Urban,59.1,60.45,77.87,76.75,66.34
Saiha,Mizoram,Medical,Rural,135.9,92.96,76.89,69.8,59.52
Saitual,Mizoram,LifeStyle,Rural,197.1,94.01,78.15,69.35,60.73
Serchhip,Mizoram,Construction,Urban,151.3,80.45,92.03,77.12,37.15
Chumukedima,Nagaland,IT and Security,Urban,167.5,67.07,83.17,67.63,44.98
Dimapur,Nagaland,LifeStyle,Rural,94.3,79.75,77.96,88.58,48.29
Kiphire,Nagaland,IT and Security,Rural,101.0,111.59,82.61,85.92,31.24
Kohima,Nagaland,Food,Rural,135.8,104.47,85.81,85.36,53.32
Longleng,Nagaland,Manufacturing,Urban,18.2,100.05,82.99,93.22,45.74
Mokokchung,Nagaland,LifeStyle,Urban,150.9,58.98,70.38,72.31,38.88
Mon,Nagaland,Agriculture,Rural,165.7,73.53,98.13,67.07,63.22
Niuland,Nagaland,Construction,Rural,113.4,84.41,98.38,85.28,63.72
Noklak,Nagaland,Agriculture,Urban,9.7,110.57,96.51,94.69,61.01
Peren,Nagaland,Services,Rural,109.5,76.42,95.35,60.5,67.66
Phek,Nagaland,Manufacturing,Rural,141.1,104.73,84.3,94.5,49.26
Shamator,Nagaland,Construction,Rural,105.1,48.01,71.51,93.2,55.4
Tseminyu,Nagaland,Medical,Rural,196.4,55.51,70.61,86.95,26.94
Tuensang,Nagaland,IT and Security,Rural,73.9,81.23,87.71,60.16,38.29
Wokha,Nagaland,Manufacturing,Rural,97.8,95.54,97.63,86.98,58.36
Zunheboto,Nagaland,LifeStyle,Urban,191.9,81.33,88.47,67.45,62.42
Angul,Odisha,Food,Rural,125.2,72.69,94.23,75.68,56.3
Balangir,Odisha,Medical,Urban,144.7,104.27,75.2,72.32,68.88
Balasore,Odisha,Services,Rural,87.6,122.18,82.34,60.99,55.25
Bargarh,Odisha,Services,Rural,25.7,120.42,76.19,60.53,22.79
Bhadrak,Odisha,Construction,Urban,5.9,100.28,95.4,74.68,46.09
Boudh,Odisha,Construction,Rural,115.7,57.85,96.1,89.4,58.89
Cuttack,Odisha,Medical,Rural,172.9,98.35,93.26,74.22,69.63
Debagarh,Odisha,Medical,Rural,11.7,52.05,71.84,94.0,53.35
Dhenkanal,Odisha,Construction,Rural,188.1,44.36,87.55,86.15,33.9
Gajapati,Odisha,IT and Security,Rural,155.8,120.2,76.16,87.1,49.9
Ganjam,Odisha,Construction,Rural,57.2,97.4,86.8,91.51,43.01
Jagatsinghpur,Odisha,Agriculture,Rural,18.9,71.03,85.46,83.02,57.6
Jajpur,Odisha,Medical,Urban,122.6,59.13,80.84,68.98,24.44
Jharsuguda,Odisha,Agriculture,Rural,55.0,86.92,86.87,74.13,35.56
Kalahandi,Odisha,Manufacturing,Urban,151.1,41.61,80.3,88.23,37.59
Kandhamal,Odisha,LifeStyle,Rural,98.2,98.51,92.32,76.75,58.19
Kendrapara,Odisha,Construction,Urban,101.1,91.59,96.26,82.3,85.31
Kendujhar,Odisha,LifeStyle,Rural,132.9,41.7,78.42,75.88,38.05
Khordha,Odisha,Services,Urban,66.2,71.5,73.23,68.02,59.19
Koraput,Odisha,Agriculture,Rural,86.9,101.28,85.37,62.35,52.92
Malkangiri,Odisha,Services,Urban,184.4,90.45,82.7,82.86,72.41
Mayurbhanj,Odisha,Agriculture,Rural,25.9,92.36,96.65,72.04,39.73
Nabarangpur,Odisha,Food,Urban,7.1,51.83,83.13,85.48,56.89
Nayagarh,Odisha,Construction,Rural,46.8,60.74,80.89,78.9,42.99
Nuapada,Odisha,Medical,Rural,164.0,97.03,71.79,73.29,37.31
Puri,Odisha,Services,Urban,48.9,79.28,73.73,91.01,45.75
Rayagada,Odisha,Manufacturing,Urban,33.1,62.53,86.36,90.28,53.02
Sambalpur,Odisha,Services,Urban,20.2,71.9,84.96,83.53,36.63
Subarnapur,Odisha,Construction,Urban,139.2,69.37,73.37,76.0,34.68
Sundergarh,Odisha,LifeStyle,Urban,113.5,68.72,74.9,83.81,60.16
Karaikal,Puducherry,Manufacturing,Rural,6.2,102.08,72.16,72.46,41.61
Mahe,Puducherry,LifeStyle,Urban,19.0,54.4,77.85,85.12,74.78
Puducherry,Puducherry,Medical,Rural,8.1,98.68,90.18,72.82,51.18
Yanam,Puducherry,Food,Urban,122.6,62.08,74.72,87.83,45.37
Amritsar,Punjab,LifeStyle,Rural,172.5,72.58,81.67,70.12,28.8
Barnala,Punjab,Food,Rural,146.6,90.89,99.01,80.62,40.9
Bathinda,Punjab,Manufacturing,Urban,44.0,81.28,70.6,92.41,82.02
Faridkot,Punjab,Services,Rural,168.6,108.54,98.89,93.04,49.63
Fatehgarh Sahib,Punjab,Agriculture,Urban,30.5,78.74,82.47,63.03,48.91
Fazilka,Punjab,IT and Security,Rural,16.7,76.99,72.71,89.08,7.6
Firozpur,Punjab,Food,Rural,172.8,98.62,97.71,75.59,65.97
Gurdaspur,Punjab,IT and Security,Rural,64.8,76.28,89.34,66.89,61.95
Hoshiarpur,Punjab,IT and Security,Urban,93.0,109.74,89.57,70.73,58.83
Jalandhar,Punjab,Construction,Rural,153.7,31.56,98.46,75.9,56.38
Kapurthala,Punjab,Medical,Urban,57.6,64.9,93.7,81.14,74.14
Ludhiana,Punjab,Services,Rural,197.5,63.07,98.48,66.51,37.12
Malerkotla,Punjab,Food,Urban,194.3,93.31,72.9,69.02,53.76
Mansa,Punjab,Food,Rural,45.7,81.22,95.95,93.49,52.29
Moga,Punjab,Manufacturing,Urban,43.0,98.77,78.28,64.92,73.91
Mohali,Punjab,Manufacturing,Rural,94.6,81.86,97.34,70.22,55.96
Muktsar,Punjab,LifeStyle,Urban,117.1,98.12,74.3,94.65,57.67
Pathankot,Punjab,IT and Security,Urban,108.6,73.88,91.19,71.77,26.37
Patiala,Punjab,Agriculture,Urban,198.0,59.52,78.18,80.26,49.78
Rupnagar,Punjab,Services,Rural,170.1,68.42,87.13,63.31,33.45
Sangrur,Punjab,Medical,Rural,184.7,95.41,96.15,72.37,62.16
Shaheed Bhagat Singh Nagar,Punjab,Food,Rural,175.5,75.42,70.21,68.67,27.44
Tarn Taran,Punjab,Agriculture,Rural,38.0,39.19,85.71,89.18,30.1
Ajmer,Rajasthan,Medical,Rural,24.1,68.66,80.78,90.46,44.7
Alwar,Rajasthan,Services,Rural,143.2,67.58,72.14,69.62,46.14
Anupgarh,Rajasthan,Construction,Urban,154.9,53.33,94.8,66.5,55.4
Balotra,Rajasthan,LifeStyle,Rural,130.3,69.49,83.02,88.86,51.27
Banswara,Rajasthan,Manufacturing,Rural,55.7,69.09,85.27,88.81,68.44
Baran,Rajasthan,Agriculture,Rural,43.2,92.38,79.0,72.42,54.73
Barmer,Rajasthan,Manufacturing,Urban,117.8,81.6,83.27,78.67,42.17
Beawar,Rajasthan,Manufacturing,Rural,54.3,77.73,83.87,81.59,48.94
Bharatpur,Rajasthan,Agriculture,Urban,31.1,79.87,74.39,81.56,47.69
Bhilwara,Rajasthan,Medical,Urban,68.8,77.18,77.19,63.68,82.28
Bikaner,Rajasthan,Food,Rural,68.3,46.99,79.87,91.03,53.11
Bundi,Rajasthan,Medical,Rural,152.1,92.24,73.96,86.48,34.84
Chittorgarh,Rajasthan,Manufacturing,Urban,120.8,115.25,95.3,90.54,65.85
Churu,Rajasthan,Services,Rural,82.8,100.17,91.51,78.51,39.29
Dausa,Rajasthan,IT and Security,Rural,23.1,81.88,79.97,61.79,66.63
Deeg,Rajasthan,Construction,Urban,52.7,70.0,90.68,84.08,24.24
Dholpur,Rajasthan,Construction,Rural,124.1,72.25,84.65,92.83,56.5
Didwana Kuchaman,Rajasthan,Medical,Rural,136.6,55.97,90.96,80.97,85.22
Dudu,Rajasthan,LifeStyle,Rural,147.7,81.91,93.17,91.75,47.02
Dungarpur,Rajasthan,IT and Security,Urban,36.6,96.96,99.91,60.2,62.0
Gangapur City,Rajasthan,Services,Urban,79.9,81.69,96.09,74.55,43.57
Hanumangarh,Rajasthan,Construction,Urban,18.3,85.05,95.54,85.39,55.16
Jaipur,Rajasthan,Services,Rural,100.2,77.62,96.82,69.07,68.37
Jaipur Rural,Rajasthan,Agriculture,Urban,93.4,38.21,73.11,69.21,42.01
Jaisalmer,Rajasthan,LifeStyle,Rural,106.7,75.81,79.96,82.95,66.9
Jalore,Rajasthan,Medical,Urban,67.0,75.47,85.05,79.98,30.58
Jhalawar,Rajasthan,IT and Security,Rural,60.7,88.23,78.72,65.6,25.64
Jhunjhunu,Rajasthan,Food,Urban,57.1,84.62,90.02,69.33,62.34
Jodhpur,Rajasthan,Construction,Urban,70.8,78.51,99.49,67.06,65.69
Jodhpur Rural,Rajasthan,Manufacturing,Rural,36.1,59.87,83.74,70.61,49.92
Karauli,Rajasthan,Food,Rural,107.5,40.27,73.4,77.02,59.96
Kekri,Rajasthan,Construction,Rural,127.0,90.0,96.63,69.47,68.79
Khairthal Tijara,Rajasthan,IT and Security,Urban,10.4,87.02,91.78,89.01,77.58
Kota,Rajasthan,IT and Security,Urban,111.0,85.62,92.77,64.85,47.42
Kotputli Behror,Rajasthan,Food,Rural,140.1,68.39,79.17,65.38,46.97
Nagaur,Rajasthan,Manufacturing,Rural,35.6,89.75,70.16,93.78,62.94
Neem ka Thana,Rajasthan,Food,Rural,153.9,79.72,94.5,71.68,54.02
Pali,Rajasthan,Food,Urban,32.2,108.45,78.32,69.57,65.79
Phalodi,Rajasthan,Services,Urban,77.0,62.84,87.11,85.29,36.99
Pratapgarh,Rajasthan,IT and Security,Rural,50.2,127.43,76.65,89.92,65.45
Rajsamand,Rajasthan,Agriculture,Urban,115.4,59.9,71.44,79.02,51.72
Salumbar,Rajasthan,Agriculture,Urban,53.4,76.3,95.82,86.95,59.34
Sanchore,Rajasthan,Services,Urban,120.3,80.09,92.86,77.17,49.7
Sawai Madhopur,Rajasthan,IT and Security,Rural,31.7,91.61,88.42,94.25,56.16
Shahpura,Rajasthan,Construction,Rural,88.0,91.92,84.05,87.23,48.99
Sikar,Rajasthan,Services,Urban,62.3,92.03,91.65,72.36,72.02
Sirohi,Rajasthan,LifeStyle,Rural,123.3,78.53,87.45,61.54,10.86
Sri Ganganagar,Rajasthan,Construction,Urban,17.8,68.74,75.3,69.7,56.79
Tonk,Rajasthan,Medical,Urban,104.2,78.91,91.41,67.7,61.89
Udaipur,Rajasthan,IT and Security,Urban,21.9,92.25,90.17,86.04,67.83
East Sikkim,Sikkim,Medical,Urban,82.7,134.61,71.53,82.75,54.38
North Sikkim,Sikkim,Services,Urban,77.8,85.16,94.79,83.1,49.43
Pakyong,Sikkim,Services,Rural,32.2,84.04,98.75,62.99,67.53
Soreng,Sikkim,Medical,Rural,154.3,78.22,88.05,86.91,39.67
South Sikkim,Sikkim,Construction,Rural,176.4,75.7,77.41,89.39,29.1
West Sikkim,Sikkim,LifeStyle,Rural,126.2,89.2,76.16,67.89,60.33
Ariyalur,Tamil Nadu,Manufacturing,Rural,77.9,79.49,94.76,72.23,42.09
Chengalpattu,Tamil Nadu,IT and Security,Rural,56.8,83.84,92.88,93.94,63.09
Chennai,Tamil Nadu,Manufacturing,Rural,94.1,97.28,84.75,94.61,68.95
Coimbatore,Tamil Nadu,Manufacturing,Rural,11.9,49.8,86.83,60.11,59.23
Cuddalore,Tamil Nadu,IT and Security,Rural,32.9,77.46,98.26,91.12,45.36
Dharmapuri,Tamil Nadu,Construction,Rural,103.1,66.78,95.8,68.15,54.6
Dindigul,Tamil Nadu,IT and Security,Urban,61.4,17.29,86.65,66.19,21.21
Erode,Tamil Nadu,Food,Rural,151.3,85.0,84.84,71.31,46.74
Kallakurichi,Tamil Nadu,Construction,Urban,11.7,63.67,94.18,93.43,49.34
Kanchipuram,Tamil Nadu,Services,Urban,20.3,57.6,82.46,72.3,47.83
Kanyakumari,Tamil Nadu,IT and Security,Rural,193.6,77.49,87.42,84.25,54.53
Karur,Tamil Nadu,LifeStyle,Urban,13.8,57.23,89.56,63.71,67.19
Krishnagiri,Tamil Nadu,Manufacturing,Urban,63.3,52.66,98.3,70.53,43.86
Madurai,Tamil Nadu,Manufacturing,Urban,87.9,85.66,71.44,76.27,53.88
Mayiladuthurai,Tamil Nadu,Medical,Rural,185.3,68.82,75.73,91.53,34.15
Nagapattinam,Tamil Nadu,Agriculture,Rural,53.0,68.68,85.36,61.55,65.21
Namakkal,Tamil Nadu,Medical,Rural,188.8,79.6,96.37,81.56,75.28
Nilgiris,Tamil Nadu,Manufacturing,Urban,97.1,82.97,70.83,86.34,21.8
Perambalur,Tamil Nadu,IT and Security,Rural,13.7,92.04,77.39,92.65,39.65
Pudukkottai,Tamil Nadu,Services,Rural,113.5,117.3,97.17,71.09,45.89
Ramanathapuram,Tamil Nadu,Food,Rural,121.8,107.64,97.76,87.84,73.13
Ranipet,Tamil Nadu,Construction,Urban,119.9,62.75,88.78,73.51,73.12
Salem,Tamil Nadu,LifeStyle,Urban,153.5,63.29,73.82,79.85,48.49
Sivaganga,Tamil Nadu,Agriculture,Rural,58.6,64.82,97.53,74.05,85.12
Tenkasi,Tamil Nadu,LifeStyle,Rural,17.0,67.72,89.5,68.72,48.5
Thanjavur,Tamil Nadu,Food,Rural,139.1,71.57,87.35,61.04,42.39
Theni,Tamil Nadu,Agriculture,Urban,63.9,69.65,97.19,66.97,61.01
Thoothukudi,Tamil Nadu,IT and Security,Rural,146.4,75.58,76.7,76.18,32.53
Tiruchirappalli,Tamil Nadu,Construction,Rural,47.4,94.86,95.04,88.11,53.04
Tirunelveli,Tamil Nadu,LifeStyle,Rural,101.5,98.71,75.97,86.28,60.65
Tirupattur,Tamil Nadu,Medical,Rural,193.5,62.46,75.58,63.35,57.52
Tiruppur,Tamil Nadu,Construction,Urban,189.4,50.13,70.19,61.13,38.6
Tiruvallur,Tamil Nadu,Medical,Rural,92.7,74.42,76.23,69.84,35.17
Tiruvannamalai,Tamil Nadu,IT and Security,Rural,192.4,101.55,92.53,90.48,45.32
Tiruvarur,Tamil Nadu,Medical,Rural,115.0,155.8,82.83,63.73,60.01
Vellore,Tamil Nadu,LifeStyle,Urban,44.1,88.63,79.95,77.04,31.06
Viluppuram,Tamil Nadu,IT and Security,Rural,107.4,93.7,98.93,63.32,18.68
Virudhunagar,Tamil Nadu,IT and Security,Rural,171.5,89.14,74.68,60.88,49.93
Adilabad,Telangana,Agriculture,Urban,72.3,59.21,93.55,84.64,44.77
Bhadradri Kothagudem,Telangana,Medical,Rural,190.9,88.55,85.06,78.55,58.0
Hanamkonda,Telangana,IT and Security,Urban,89.0,98.02,82.96,71.97,52.87
Hyderabad,Telangana,LifeStyle,Rural,72.9,79.79,86.53,92.05,30.51
Jagtial,Telangana,Services,Urban,42.3,81.76,74.29,88.2,49.75
Jangaon,Telangana,Medical,Rural,63.9,76.17,89.92,77.51,94.75
Jayashankar,Telangana,LifeStyle,Rural,124.5,100.6,75.47,81.71,44.66
Jogulamba,Telangana,Services,Urban,23.7,95.27,97.66,60.22,71.98
Kamareddy,Telangana,Construction,Rural,124.5,87.14,84.04,69.73,39.13
Karimnagar,Telangana,LifeStyle,Urban,68.4,71.63,72.26,87.64,63.73
Khammam,Telangana,IT and Security,Rural,42.8,81.19,70.49,87.76,59.45
Komaram Bheem,Telangana,Manufacturing,Rural,132.6,87.12,82.1,78.97,44.67
Mahabubabad,Telangana,Food,Rural,43.7,71.83,95.4,69.5,41.91
Mahbubnagar,Telangana,Manufacturing,Rural,101.5,77.37,85.54,77.67,60.87
Mancherial,Telangana,Food,Rural,187.9,70.51,99.35,90.29,67.34
Medak,Telangana,Manufacturing,Rural,170.8,117.37,70.61,90.24,62.23
Medchal Malkajgiri,Telangana,Services,Rural,107.9,68.12,97.35,76.84,69.41
Mulugu,Telangana,LifeStyle,Rural,136.0,55.55,72.98,80.89,44.7
