district,state,work_sector,area_type,distance_from_city,gdp_per_capita,literacy_rate_male,literacy_rate_female,avg_upi_txn_volume,gender,predicted_income
Bastar,Chhattisgarh,Food,Rural,127.7,51.39,96.1,68.27,44.46,Female,37102.64
South Delhi,Delhi,LifeStyle,Rural,68.9,103.17,70.18,82.12,29.9,Female,47410.89
Rampur,Uttar Pradesh,Agriculture,Urban,57.3,60.92,81.25,93.61,52.85,Female,44622.86
Thrissur,Kerala,IT and Security,Rural,194.7,34.0,82.33,76.12,44.02,Male,5000.0
Mahendragarh,Haryana,IT and Security,Rural,55.3,90.7,74.5,68.08,34.84,Male,57862.23
Pratapgarh,Rajasthan,IT and Security,Rural,50.2,127.43,76.65,89.92,65.45,Male,51444.75
Pratapgarh,Uttar Pradesh,Manufacturing,Rural,194.6,70.24,72.12,84.36,38.77,Male,31491.54
Shimla,Himachal Pradesh,Manufacturing,Rural,154.4,28.18,99.93,90.6,42.72,Female,5000.0
Kiphire,Nagaland,IT and Security,Rural,101.0,111.59,82.61,85.92,31.24,Male,34426.9
Golaghat,Assam,Food,Rural,199.5,84.28,70.04,88.39,90.69,Female,39666.98
Sindhudurg,Maharashtra,Construction,Rural,88.8,80.63,86.98,68.76,46.42,Female,42103.71
Seraikela Kharsawan,Jharkhand,IT and Security,Rural,162.0,92.85,83.02,83.77,57.96,Female,65598.72
Karimganj,Assam,Manufacturing,Rural,167.5,121.3,81.84,76.14,62.01,Female,32061.37
North Garo Hills,Meghalaya,Food,Rural,35.9,87.52,91.87,85.17,39.35,Male,33223.2
Raebareli,Uttar Pradesh,Services,Urban,52.2,104.44,70.45,69.18,64.76,Male,35884.58
Panchkula,Haryana,Medical,Rural,119.7,61.48,73.91,80.37,79.66,Male,41968.63
Indore,Madhya Pradesh,Agriculture,Urban,186.9,90.74,84.54,73.61,64.86,Female,45483.92
Coimbatore,Tamil Nadu,Manufacturing,Rural,11.9,49.8,86.83,60.11,59.23,Male,25479.61
Karimnagar,Telangana,LifeStyle,Urban,68.4,71.63,72.26,87.64,63.73,Female,24716.22
Akola,Maharashtra,LifeStyle,Rural,198.5,69.77,70.85,89.17,41.04,Female,32604.96
Phek,Nagaland,Manufacturing,Rural,141.1,104.73,84.3,94.5,49.26,Female,42141.93
Morbi,Gujarat,Medical,Rural,149.3,70.07,99.69,73.27,54.02,Female,47090.11
Dhamtari,Chhattisgarh,Agriculture,Rural,21.7,81.35,79.43,70.37,41.29,Female,18123.08
Nuapada,Odisha,Medical,Rural,164.0,97.03,71.79,73.29,37.31,Female,57650.84
Deoghar,Jharkhand,Services,Rural,144.3,79.56,71.69,87.97,59.3,Female,20042.4
Lower Dibang Valley,Arunachal Pradesh,Services,Rural,149.0,95.39,70.45,72.98,42.89,Female,51083.94
Banda,Uttar Pradesh,Medical,Rural,189.1,100.15,95.16,82.85,69.38,Male,43923.17
Medak,Telangana,Manufacturing,Rural,170.8,117.37,70.61,90.24,62.23,Male,49987.83
Bidar,Karnataka,Medical,Rural,111.8,93.13,77.49,78.96,53.94,Male,69288.81
Moga,Punjab,Manufacturing,Urban,43.0,98.77,78.28,64.92,73.91,Male,42922.08
Sitamarhi,Bihar,Manufacturing,Urban,125.8,81.8,80.14,62.79,63.06,Female,19232.95
Jaipur Rural,Rajasthan,Agriculture,Urban,93.4,38.21,73.11,69.21,42.01,Male,19450.45
Patan,Gujarat,Food,Rural,134.2,75.21,84.17,73.51,39.89,Male,22816.99
Ayodhya,Uttar Pradesh,Services,Urban,160.9,115.72,96.2,76.64,64.67,Male,53398.0
Visakhapatnam,Andhra Pradesh,IT and Security,Rural,71.6,112.81,82.63,72.51,61.38,Female,36048.16
Fatehgarh Sahib,Punjab,Agriculture,Urban,30.5,78.74,82.47,63.03,48.91,Male,18390.37
Saitual,Mizoram,LifeStyle,Rural,197.1,94.01,78.15,69.35,60.73,Female,64614.67
Hnahthial,Mizoram,Services,Urban,173.8,51.78,90.73,62.19,57.75,Female,29637.81
Satara,Maharashtra,Services,Urban,151.3,77.12,77.62,80.63,58.6,Female,43650.24
Pune,Maharashtra,Medical,Rural,29.7,81.87,80.05,94.85,69.73,Male,15754.73
Basti,Uttar Pradesh,IT and Security,Urban,198.3,79.42,89.4,60.46,27.13,Male,77455.21
Balasore,Odisha,Services,Rural,87.6,122.18,82.34,60.99,55.25,Male,52098.2
Cooch Behar,West Bengal,IT and Security,Rural,101.5,62.74,84.12,85.79,15.35,Male,29875.7
Tseminyu,Nagaland,Medical,Rural,196.4,55.51,70.61,86.95,26.94,Female,19926.59
Cuddalore,Tamil Nadu,IT and Security,Rural,32.9,77.46,98.26,91.12,45.36,Female,43860.16
Mehsana,Gujarat,Food,Urban,55.7,94.66,95.1,65.64,45.35,Female,21254.66
Serchhip,Mizoram,Construction,Urban,151.3,80.45,92.03,77.12,37.15,Male,33037.82
Adilabad,Telangana,Agriculture,Urban,72.3,59.21,93.55,84.64,44.77,Female,16982.93
Baghpat,Uttar Pradesh,Construction,Rural,112.6,57.96,75.0,65.96,56.86,Male,46499.28
Anantnag,Jammu Kashmir,Medical,Rural,71.0,82.61,94.03,78.93,75.45,Female,21367.07
Sakti,Chhattisgarh,Construction,Urban,73.7,76.34,97.23,76.33,43.07,Male,50730.78
Kanpur Nagar,Uttar Pradesh,Services,Urban,185.3,58.97,88.75,83.57,81.06,Female,58460.38
Imphal East,Manipur,Agriculture,Rural,135.8,85.65,74.6,69.93,61.67,Male,27670.87
Kasganj,Uttar Pradesh,Medical,Urban,129.4,85.67,74.97,84.99,32.95,Male,5000.0
Sant Kabir Nagar,Uttar Pradesh,Manufacturing,Rural,112.9,72.02,77.3,61.63,60.29,Male,27019.41
Kanpur Dehat,Uttar Pradesh,Manufacturing,Urban,13.7,77.29,89.19,63.78,67.76,Female,37440.39
Navsari,Gujarat,Agriculture,Urban,133.6,95.27,94.46,68.28,42.64,Male,47754.83
Varanasi,Uttar Pradesh,IT and Security,Rural,185.9,82.19,81.03,80.23,43.82,Male,40591.58
Kozhikode,Kerala,Food,Rural,13.9,50.08,88.31,71.5,31.26,Female,17750.44
Gangapur City,Rajasthan,Services,Urban,79.9,81.69,96.09,74.55,43.57,Female,18176.31
West Godavari,Andhra Pradesh,Manufacturing,Urban,193.5,80.3,92.22,80.21,76.73,Male,44297.8
Longding,Arunachal Pradesh,Manufacturing,Urban,67.6,89.54,72.9,86.64,48.93,Female,52757.26
Kaushambi,Uttar Pradesh,IT and Security,Rural,88.9,106.0,80.89,66.05,52.48,Female,44753.58
Amritsar,Punjab,LifeStyle,Rural,172.5,72.58,81.67,70.12,28.8,Male,35435.2
Gumla,Jharkhand,IT and Security,Rural,72.1,83.08,83.02,82.75,52.06,Male,32150.85
Vizianagaram,Andhra Pradesh,Manufacturing,Rural,171.2,68.47,93.95,81.67,57.08,Female,24157.39
Mon,Nagaland,Agriculture,Rural,165.7,73.53,98.13,67.07,63.22,Female,21442.41
Bijnor,Uttar Pradesh,Services,Urban,194.9,65.28,70.6,76.11,58.96,Male,43333.4
Sheopur,Madhya Pradesh,LifeStyle,Urban,98.4,100.88,89.78,70.74,51.1,Male,58561.75
Fatehpur,Uttar Pradesh,Agriculture,Rural,103.0,84.33,89.25,66.34,47.49,Male,44325.47
Junagadh,Gujarat,Medical,Rural,11.6,83.16,71.84,87.89,53.33,Male,40518.29
Mahbubnagar,Telangana,Manufacturing,Rural,101.5,77.37,85.54,77.67,60.87,Male,65232.43
Banda,Uttar Pradesh,Medical,Rural,189.1,100.15,95.16,82.85,69.38,Male,60243.18
Koderma,Jharkhand,Manufacturing,Rural,178.3,72.78,75.44,70.03,12.86,Female,44466.93
Malkangiri,Odisha,Services,Urban,184.4,90.45,82.7,82.86,72.41,Female,28433.21
Bongaigaon,Assam,IT and Security,Rural,150.6,84.06,83.78,81.62,77.51,Male,67327.78
Paschim Medinipur,West Bengal,Construction,Rural,198.7,66.46,88.93,89.44,64.51,Male,8373.85
West Khasi Hills,Meghalaya,Food,Rural,173.3,94.36,79.06,89.91,50.02,Male,17301.64
Chikkaballapur,Karnataka,Construction,Rural,129.4,72.51,99.91,61.48,48.49,Male,11795.73
Korba,Chhattisgarh,Food,Rural,189.6,92.89,97.08,80.86,69.99,Male,25506.61
Kottayam,Kerala,IT and Security,Urban,179.6,63.45,93.53,61.63,48.57,Male,19948.22
Papum Pare,Arunachal Pradesh,Medical,Rural,199.1,73.45,71.42,74.07,56.07,Female,25144.75
Ajmer,Rajasthan,Medical,Rural,24.1,68.66,80.78,90.46,44.7,Female,33685.43
Kakinada,Andhra Pradesh,Services,Urban,5.7,98.81,75.49,68.49,56.16,Male,56168.2
Maharajganj,Uttar Pradesh,Medical,Rural,179.5,51.2,88.33,90.42,67.08,Male,46757.64
Biswanath,Assam,IT and Security,Rural,39.2,74.68,75.61,67.89,55.41,Female,26435.35
Ratlam,Madhya Pradesh,Services,Urban,190.1,101.23,96.81,80.73,66.36,Female,40697.5
Balrampur,Chhattisgarh,Construction,Rural,99.1,99.48,90.43,83.16,49.09,Female,27163.28
Balrampur,Uttar Pradesh,Food,Urban,17.7,52.49,89.84,60.61,87.99,Female,33138.28
Tonk,Rajasthan,Medical,Urban,104.2,78.91,91.41,67.7,61.89,Female,32775.89
Coimbatore,Tamil Nadu,Manufacturing,Rural,11.9,49.8,86.83,60.11,59.23,Male,54233.61
Tiruppur,Tamil Nadu,Construction,Urban,189.4,50.13,70.19,61.13,38.6,Female,34596.74
Bharatpur,Rajasthan,Agriculture,Urban,31.1,79.87,74.39,81.56,47.69,Female,20496.56
Udhampur,Jammu Kashmir,Construction,Rural,108.7,75.79,74.8,62.72,40.44,Female,18224.26
Bathinda,Punjab,Manufacturing,Urban,44.0,81.28,70.6,92.41,82.02,Male,49759.9
Sheohar,Bihar,Medical,Urban,102.9,66.79,99.75,86.74,64.39,Male,21638.37
Salem,Tamil Nadu,LifeStyle,Urban,153.5,63.29,73.82,79.85,48.49,Male,29084.91
Dholpur,Rajasthan,Construction,Rural,124.1,72.25,84.65,92.83,56.5,Female,41066.04
New Delhi,Delhi,Construction,Rural,161.2,102.32,88.8,92.32,28.91,Female,29786.4
Tumkur,Karnataka,Construction,Rural,87.0,71.68,78.13,64.73,52.91,Female,30509.09
Jodhpur Rural,Rajasthan,Manufacturing,Rural,36.1,59.87,83.74,70.61,49.92,Male,17718.52
Shajapur,Madhya Pradesh,Services,Urban,61.2,36.47,82.31,69.86,52.4,Male,19121.2
Dibrugarh,Assam,Medical,Rural,76.3,86.03,80.14,65.24,62.58,Male,42229.06
Gariaband,Chhattisgarh,Construction,Urban,53.4,60.8,87.36,80.34,79.3,Female,27625.73
Panipat,Haryana,Medical,Rural,159.6,107.01,80.75,85.56,30.24,Male,55720.33
Paschim Medinipur,West Bengal,Construction,Rural,198.7,66.46,88.93,89.44,64.51,Female,11964.68
Seoni,Madhya Pradesh,Construction,Rural,162.5,125.99,93.95,70.82,39.01,Female,60446.02
Baramulla,Jammu Kashmir,IT and Security,Rural,44.2,78.35,87.7,94.48,59.8,Male,46243.74
Sri Satya Sai,Andhra Pradesh,Food,Rural,18.1,76.2,71.51,71.36,56.13,Male,42502.19
Katihar,Bihar,Construction,Rural,175.8,52.44,95.05,80.44,56.12,Female,19552.08
North Goa,Goa,Construction,Rural,139.4,79.72,95.07,73.88,56.39,Female,5000.0
Dudu,Rajasthan,LifeStyle,Rural,147.7,81.91,93.17,91.75,47.02,Male,28246.58
Sultanpur,Uttar Pradesh,Agriculture,Urban,51.7,45.42,89.52,69.07,41.62,Male,27069.51
Cuddalore,Tamil Nadu,IT and Security,Rural,32.9,77.46,98.26,91.12,45.36,Female,45003.82
Bikaner,Rajasthan,Food,Rural,68.3,46.99,79.87,91.03,53.11,Female,34083.88
Sangrur,Punjab,Medical,Rural,184.7,95.41,96.15,72.37,62.16,Male,35176.42
Vizianagaram,Andhra Pradesh,Manufacturing,Rural,171.2,68.47,93.95,81.67,57.08,Male,33470.54
Burhanpur,Madhya Pradesh,LifeStyle,Urban,67.7,75.18,96.91,61.14,59.75,Male,63110.78
Pithoragarh,Uttarakhand,Construction,Rural,33.7,99.7,91.08,64.38,57.35,Female,47156.09
Churachandpur,Manipur,Medical,Urban,144.1,97.95,75.23,71.73,48.68,Female,46351.93
Kolar,Karnataka,Agriculture,Rural,97.4,91.16,77.38,90.88,68.0,Male,40720.14
Ahmedabad,Gujarat,Food,Rural,128.8,53.22,98.51,81.91,84.57,Female,25297.47
Kurnool,Andhra Pradesh,Agriculture,Urban,95.2,47.55,88.07,60.38,47.24,Male,5000.0
Vaishali,Bihar,Medical,Rural,132.1,94.23,80.61,72.94,43.68,Female,40681.53
Jharsuguda,Odisha,Agriculture,Rural,55.0,86.92,86.87,74.13,35.56,Female,42649.43
Nalgonda,Telangana,Construction,Urban,38.6,122.16,86.94,82.5,20.61,Male,35517.44
Ganderbal,Jammu Kashmir,Agriculture,Urban,125.6,73.21,86.49,73.06,54.87,Male,58841.76
Wayanad,Kerala,LifeStyle,Rural,156.8,108.69,74.1,74.22,44.45,Male,59731.8
Jajpur,Odisha,Medical,Urban,122.6,59.13,80.84,68.98,24.44,Male,28980.06
Cuttack,Odisha,Medical,Rural,172.9,98.35,93.26,74.22,69.63,Male,31660.63
Sangli,Maharashtra,Construction,Urban,66.2,73.01,75.38,84.47,70.52,Male,48478.91
Vizianagaram,Andhra Pradesh,Manufacturing,Rural,171.2,68.47,93.95,81.67,57.08,Female,35243.1
Begusarai,Bihar,IT and Security,Rural,125.3,74.03,88.13,81.81,34.89,Female,21573.44
Chittorgarh,Rajasthan,Manufacturing,Urban,120.8,115.25,95.3,90.54,65.85,Female,60550.01
Shimla,Himachal Pradesh,Manufacturing,Rural,154.4,28.18,99.93,90.6,42.72,Female,6621.68
Chamba,Himachal Pradesh,Manufacturing,Rural,57.1,75.74,91.52,66.71,46.06,Female,17615.98
Panna,Madhya Pradesh,Construction,Rural,143.2,93.02,73.29,67.39,55.67,Female,5000.0
Gangapur City,Rajasthan,Services,Urban,79.9,81.69,96.09,74.55,43.57,Male,15694.16
Varanasi,Uttar Pradesh,IT and Security,Rural,185.9,82.19,81.03,80.23,43.82,Male,51768.24
Mandsaur,Madhya Pradesh,Medical,Urban,139.2,122.54,97.67,91.83,97.6,Female,64202.57
Nagarkurnool,Telangana,Agriculture,Urban,102.7,59.65,71.71,71.76,47.32,Female,26707.74
Bhandara,Maharashtra,LifeStyle,Urban,69.8,64.8,99.55,93.08,45.44,Male,39446.98
Diu,Dadra Nagar Haveli and Daman and Diu,Services,Urban,104.7,87.29,94.56,76.35,31.32,Female,27341.85
Parbhani,Maharashtra,Manufacturing,Rural,194.7,73.92,75.76,85.29,73.99,Female,28140.77
Rudraprayag,Uttarakhand,Manufacturing,Rural,99.2,68.62,96.59,93.21,37.23,Male,24704.87
Kekri,Rajasthan,Construction,Rural,127.0,90.0,96.63,69.47,68.79,Female,43707.01
Hamirpur,Himachal Pradesh,Food,Rural,175.7,115.08,80.57,78.51,42.04,Female,37350.68
Hamirpur,Uttar Pradesh,Construction,Rural,152.4,75.91,75.63,74.77,36.69,Female,30308.31
Deeg,Rajasthan,Construction,Urban,52.7,70.0,90.68,84.08,24.24,Male,29523.01
Theni,Tamil Nadu,Agriculture,Urban,63.9,69.65,97.19,66.97,61.01,Male,48997.77
Saitual,Mizoram,LifeStyle,Rural,197.1,94.01,78.15,69.35,60.73,Male,45091.47
Maharajganj,Uttar Pradesh,Medical,Rural,179.5,51.2,88.33,90.42,67.08,Female,15722.62
Tapi,Gujarat,Construction,Urban,177.6,41.51,86.41,72.34,52.93,Female,33811.24
Purba Bardhaman,West Bengal,Manufacturing,Urban,188.8,108.63,75.08,87.46,58.4,Male,37828.28
Chhatarpur,Madhya Pradesh,Medical,Urban,7.4,126.04,80.68,79.28,69.93,Female,23285.35
Kozhikode,Kerala,Food,Rural,13.9,50.08,88.31,71.5,31.26,Female,12365.59
Sangrur,Punjab,Medical,Rural,184.7,95.41,96.15,72.37,62.16,Female,54804.44
Hailakandi,Assam,Agriculture,Rural,5.8,66.96,78.64,75.64,47.42,Female,22243.19
Malkangiri,Odisha,Services,Urban,184.4,90.45,82.7,82.86,72.41,Male,32193.78
Vaishali,Bihar,Medical,Rural,132.1,94.23,80.61,72.94,43.68,Female,74052.05
Lower Dibang Valley,Arunachal Pradesh,Services,Rural,149.0,95.39,70.45,72.98,42.89,Female,20199.6
Sonbhadra,Uttar Pradesh,Manufacturing,Rural,98.3,72.25,87.76,78.94,37.14,Male,35699.63
Birbhum,West Bengal,Manufacturing,Rural,35.5,77.73,76.2,81.18,63.54,Male,36320.61
South Tripura,Tripura,Manufacturing,Rural,186.6,106.22,83.47,65.1,63.35,Male,43899.35
Bhind,Madhya Pradesh,Services,Urban,83.4,45.26,91.61,72.51,68.19,Female,27519.44
Bajali,Assam,Manufacturing,Rural,60.7,42.9,89.77,72.42,34.24,Male,26801.98
South West Delhi,Delhi,LifeStyle,Urban,34.2,91.41,87.57,69.47,72.32,Male,32595.49
Saharsa,Bihar,Manufacturing,Urban,101.6,150.83,80.89,80.76,71.18,Female,68627.66
South 24 Parganas,West Bengal,Food,Urban,74.1,81.57,82.68,79.27,32.37,Male,52488.21
Aurangabad,Bihar,LifeStyle,Rural,132.4,50.83,92.39,83.64,52.42,Female,15093.88
Aurangabad,Maharashtra,Agriculture,Urban,139.4,103.46,87.66,88.1,60.42,Male,34181.5
Adilabad,Telangana,Agriculture,Urban,72.3,59.21,93.55,84.64,44.77,Male,5522.19
West Tripura,Tripura,IT and Security,Rural,88.9,41.91,80.07,67.66,67.32,Male,32957.82
Sirsa,Haryana,Agriculture,Rural,134.3,79.07,94.19,73.72,75.51,Male,31711.93
Nalgonda,Telangana,Construction,Urban,38.6,122.16,86.94,82.5,20.61,Female,31839.93
Sivasagar,Assam,Services,Urban,88.9,94.89,77.17,81.1,37.51,Male,55586.68
Washim,Maharashtra,LifeStyle,Urban,66.6,40.96,72.16,69.44,64.16,Male,13191.36
Wokha,Nagaland,Manufacturing,Rural,97.8,95.54,97.63,86.98,58.36,Female,16103.71
North Sikkim,Sikkim,Services,Urban,77.8,85.16,94.79,83.1,49.43,Male,60193.65
Nilgiris,Tamil Nadu,Manufacturing,Urban,97.1,82.97,70.83,86.34,21.8,Female,29512.92
South West Delhi,Delhi,LifeStyle,Urban,34.2,91.41,87.57,69.47,72.32,Female,35909.45
Washim,Maharashtra,LifeStyle,Urban,66.6,40.96,72.16,69.44,64.16,Male,48828.18
Malappuram,Kerala,Medical,Rural,136.2,74.52,85.73,91.97,54.39,Male,49351.43
Kanpur Dehat,Uttar Pradesh,Manufacturing,Urban,13.7,77.29,89.19,63.78,67.76,Male,25268.13
Agra,Uttar Pradesh,Manufacturing,Rural,187.4,88.75,93.55,70.68,71.53,Male,47710.59
Mancherial,Telangana,Food,Rural,187.9,70.51,99.35,90.29,67.34,Female,24738.42
Jalgaon,Maharashtra,LifeStyle,Urban,109.6,62.86,98.97,73.77,50.17,Female,27746.68
Goalpara,Assam,Agriculture,Rural,128.1,95.56,82.87,71.22,47.24,Male,5000.0
South West Garo Hills,Meghalaya,Food,Rural,84.2,64.24,73.21,74.61,61.94,Male,20675.04
Sangrur,Punjab,Medical,Rural,184.7,95.41,96.15,72.37,62.16,Female,11444.73
Dhalai,Tripura,IT and Security,Urban,21.0,44.27,81.4,79.43,32.28,Female,26180.06
Gondia,Maharashtra,Medical,Rural,125.6,28.1,88.33,63.47,24.95,Female,5000.0
Botad,Gujarat,Construction,Urban,32.1,96.69,80.27,88.9,34.08,Female,24862.19
Lalitpur,Uttar Pradesh,LifeStyle,Urban,118.1,52.79,75.44,84.06,80.56,Male,15739.58
Pherzawl,Manipur,Manufacturing,Rural,44.4,88.66,94.49,85.76,37.46,Female,29827.27
Noklak,Nagaland,Agriculture,Urban,9.7,110.57,96.51,94.69,61.01,Male,80146.54
Shopian,Jammu Kashmir,Agriculture,Urban,64.8,115.21,76.47,79.45,58.99,Female,53876.41
Bokaro,Jharkhand,Services,Rural,196.7,92.15,99.08,81.84,30.16,Female,37419.14
Ayodhya,Uttar Pradesh,Services,Urban,160.9,115.72,96.2,76.64,64.67,Female,40803.79
Mahabubabad,Telangana,Food,Rural,43.7,71.83,95.4,69.5,41.91,Female,19299.73
Kandhamal,Odisha,LifeStyle,Rural,98.2,98.51,92.32,76.75,58.19,Male,49020.47
Hoshangabad,Madhya Pradesh,Medical,Urban,191.8,53.26,99.44,79.06,39.3,Female,18135.35
Sheopur,Madhya Pradesh,LifeStyle,Urban,98.4,100.88,89.78,70.74,51.1,Female,47731.73
Firozpur,Punjab,Food,Rural,172.8,98.62,97.71,75.59,65.97,Female,23261.04
Mau,Uttar Pradesh,Manufacturing,Rural,112.0,81.23,75.06,60.68,58.82,Male,27103.25
Ramgarh,Jharkhand,Manufacturing,Urban,45.5,65.22,71.49,67.88,23.01,Male,5000.0
Valsad,Gujarat,LifeStyle,Urban,185.2,66.93,99.88,86.87,63.89,Female,39164.49
Tarn Taran,Punjab,Agriculture,Rural,38.0,39.19,85.71,89.18,30.1,Male,5201.02
Tumkur,Karnataka,Construction,Rural,87.0,71.68,78.13,64.73,52.91,Male,37062.0
Lower Subansiri,Arunachal Pradesh,IT and Security,Rural,126.6,82.48,86.81,66.23,30.12,Female,8124.39
Khunti,Jharkhand,IT and Security,Rural,189.7,78.28,93.83,79.32,51.87,Male,25920.57
Navsari,Gujarat,Agriculture,Urban,133.6,95.27,94.46,68.28,42.64,Female,29449.81
Gangapur City,Rajasthan,Services,Urban,79.9,81.69,96.09,74.55,43.57,Male,37650.33
Firozabad,Uttar Pradesh,LifeStyle,Rural,99.6,66.44,73.86,66.28,55.32,Male,18725.29
Mathura,Uttar Pradesh,Medical,Urban,120.8,50.12,89.04,90.07,56.16,Male,27445.49
Bidar,Karnataka,Medical,Rural,111.8,93.13,77.49,78.96,53.94,Female,14898.6
Alappuzha,Kerala,Medical,Rural,46.5,87.23,82.1,86.09,28.81,Female,15182.5
Raipur,Chhattisgarh,Food,Urban,121.9,84.84,87.23,83.73,66.34,Male,44437.4
Eluru,Andhra Pradesh,LifeStyle,Rural,52.2,109.58,78.63,82.09,31.38,Male,34059.4
Chamba,Himachal Pradesh,Manufacturing,Rural,57.1,75.74,91.52,66.71,46.06,Female,38070.27
Mandla,Madhya Pradesh,IT and Security,Rural,185.7,67.73,70.57,91.63,58.26,Female,46232.1
Chengalpattu,Tamil Nadu,IT and Security,Rural,56.8,83.84,92.88,93.94,63.09,Male,17028.9
Khammam,Telangana,IT and Security,Rural,42.8,81.19,70.49,87.76,59.45,Female,25430.13
Majuli,Assam,Food,Rural,182.5,75.85,82.19,91.75,43.25,Male,25632.23
Guna,Madhya Pradesh,Construction,Rural,55.4,78.02,82.88,72.97,42.79,Female,33269.42
Kalimpong,West Bengal,Food,Urban,144.3,71.0,94.29,63.59,48.36,Female,32663.89
Churachandpur,Manipur,Medical,Urban,144.1,97.95,75.23,71.73,48.68,Male,23185.06
Moga,Punjab,Manufacturing,Urban,43.0,98.77,78.28,64.92,73.91,Male,58172.19
Kotputli Behror,Rajasthan,Food,Rural,140.1,68.39,79.17,65.38,46.97,Female,18946.32
Daman,Dadra Nagar Haveli and Daman and Diu,Manufacturing,Rural,122.6,77.53,72.53,61.95,55.62,Female,25482.26
Moradabad,Uttar Pradesh,Construction,Rural,134.0,87.96,98.54,60.52,32.36,Female,9837.87
Chittoor,Andhra Pradesh,IT and Security,Urban,130.5,90.61,79.28,88.02,49.16,Female,36981.39
Banaskantha,Gujarat,Construction,Rural,197.6,89.73,74.82,75.42,48.49,Male,40718.32
Raipur,Chhattisgarh,Food,Urban,121.9,84.84,87.23,83.73,66.34,Female,37875.83
Mehsana,Gujarat,Food,Urban,55.7,94.66,95.1,65.64,45.35,Female,49662.83
Khandwa,Madhya Pradesh,Medical,Rural,70.1,77.86,74.43,64.28,44.76,Female,35168.32
Ramgarh,Jharkhand,Manufacturing,Urban,45.5,65.22,71.49,67.88,23.01,Female,18754.9
Kaimur,Bihar,IT and Security,Rural,112.3,57.07,99.04,87.34,40.3,Female,50678.14
Kangra,Himachal Pradesh,Medical,Rural,96.2,96.53,71.74,81.64,21.72,Male,62349.18
Haveri,Karnataka,LifeStyle,Urban,64.4,33.18,79.68,77.94,61.37,Male,10588.14
Ranchi,Jharkhand,LifeStyle,Rural,107.3,59.21,93.33,79.85,49.09,Male,42994.16
North Garo Hills,Meghalaya,Food,Rural,35.9,87.52,91.87,85.17,39.35,Female,39108.78
Wokha,Nagaland,Manufacturing,Rural,97.8,95.54,97.63,86.98,58.36,Female,35074.97
Dakshin Dinajpur,West Bengal,Food,Urban,188.0,60.58,85.12,86.3,57.51,Male,46530.75
Azamgarh,Uttar Pradesh,LifeStyle,Urban,40.8,60.78,92.0,74.93,52.81,Male,15788.92
Sonitpur,Assam,Food,Rural,47.9,104.73,81.4,93.8,22.86,Male,39075.29
Keyi Panyor,Arunachal Pradesh,Manufacturing,Rural,107.6,75.79,75.22,60.53,41.62,Male,10439.58
South West Khasi Hills,Meghalaya,Manufacturing,Rural,183.7,83.13,80.77,80.31,52.58,Female,44813.16
Jaisalmer,Rajasthan,LifeStyle,Rural,106.7,75.81,79.96,82.95,66.9,Female,34935.61
Bargarh,Odisha,Services,Rural,25.7,120.42,76.19,60.53,22.79,Male,23435.69
Kohima,Nagaland,Food,Rural,135.8,104.47,85.81,85.36,53.32,Female,47537.17
Guntur,Andhra Pradesh,Agriculture,Rural,172.6,89.86,84.94,74.3,51.3,Female,56038.11
Gajapati,Odisha,IT and Security,Rural,155.8,120.2,76.16,87.1,49.9,Male,48713.92
Baran,Rajasthan,Agriculture,Rural,43.2,92.38,79.0,72.42,54.73,Female,45407.18
Zunheboto,Nagaland,LifeStyle,Urban,191.9,81.33,88.47,67.45,62.42,Male,35035.23
Yavatmal,Maharashtra,Services,Rural,47.5,114.9,71.21,61.28,39.45,Female,15944.99
Erode,Tamil Nadu,Food,Rural,151.3,85.0,84.84,71.31,46.74,Female,23514.62
Thane,Maharashtra,Food,Urban,79.3,52.98,81.88,86.05,36.47,Male,16783.99
Nuh,Haryana,Construction,Urban,155.3,97.44,84.52,65.37,44.2,Female,25888.28
Lohardaga,Jharkhand,LifeStyle,Urban,18.8,72.33,77.69,72.55,64.92,Male,22426.42
Lakshadweep,Lakshadweep,Food,Rural,25.8,67.15,77.23,83.96,43.77,Female,34257.72
Medak,Telangana,Manufacturing,Rural,170.8,117.37,70.61,90.24,62.23,Male,24236.07
Parbhani,Maharashtra,Manufacturing,Rural,194.7,73.92,75.76,85.29,73.99,Female,51101.2
Faridabad,Haryana,Agriculture,Rural,52.4,80.66,72.8,71.49,25.94,Female,40857.06
Sidhi,Madhya Pradesh,Services,Urban,152.4,137.08,88.26,62.59,45.53,Male,35560.78
Bhind,Madhya Pradesh,Services,Urban,83.4,45.26,91.61,72.51,68.19,Female,26426.42
Lepa Rada,Arunachal Pradesh,Construction,Urban,137.7,102.88,72.77,73.57,63.04,Male,22174.28
Sant Kabir Nagar,Uttar Pradesh,Manufacturing,Rural,112.9,72.02,77.3,61.63,60.29,Female,64383.93
Pathankot,Punjab,IT and Security,Urban,108.6,73.88,91.19,71.77,26.37,Female,35549.77
Sri Ganganagar,Rajasthan,Construction,Urban,17.8,68.74,75.3,69.7,56.79,Male,13139.81
Sultanpur,Uttar Pradesh,Agriculture,Urban,51.7,45.42,89.52,69.07,41.62,Female,24169.26
South Andaman,Andaman Nicobar,Services,Rural,144.8,79.5,96.69,84.71,35.57,Female,23505.95
Firozabad,Uttar Pradesh,LifeStyle,Rural,99.6,66.44,73.86,66.28,55.32,Female,23926.4
